ID,Organizations,Organization,Source_Type,P1,P2,Total_Annual,Flow,Disbursement_Type,Parish,Receiving_Type,Parish Source_Type,fips
270,"General - Second Judicial District Attorney, Asset Forfeiture/Sale",2nd Judicial District Court District Attorney,Asset Forfeiture/Sale,0,1075,1075,less,Disbursements to governments & nonprofits,bienville,District Courts,bienville Asset Forfeiture/Sale,22013
271,"Fiduciary - Second Judicial District Expense Fund, Criminal Court Costs/Fees",2nd Judicial District Court Expense Fund,Criminal Court Costs/Fees,19880,3224,23104,less,Disbursements to governments & nonprofits,bienville,District Courts,bienville Criminal Court Costs/Fees,22013
272,Fiduciary - Second Judicial District Expense Fund. Bond Fees,2nd Judicial District Court Expense Fund,Bond Fees,4818,16447,21265,less,Disbursements to governments & nonprofits,bienville,District Courts,bienville Bond Fees,22013
273,"Fiduciary - Second Judicial District Criminal Court, Criminal Court Costs/Fees",2nd Judicial District Criminal Court,Criminal Court Costs/Fees,19908,6768,26676,less,Disbursements to governments & nonprofits,bienville,District Courts,bienville Criminal Court Costs/Fees,22013
274,"Fiduciary - Second Judicial District Criminal Court, Criminal Fines - Other",2nd Judicial District Criminal Court,Criminal Fines - Other,214983,16378,231361,less,Disbursements to governments & nonprofits,bienville,District Courts,bienville Criminal Fines - Other,22013
275,"Fiduciary - Louisiana Traumatic Head & Spinal Cord, Criminal Court Costs/Fees",Traumatic Head and Spinal Chord Injury Trust Fund,Criminal Court Costs/Fees,8935,216519,225454,less,Disbursements to governments & nonprofits,bienville,Traumatic Head and Spinal Chord Injury Trust Fund,bienville Criminal Court Costs/Fees,22013
276,"Fiduciary - Second Judicial District Indigent Defender Board, Bond Fees",2nd Judicial District Indigent Defender Board,Bond Fees,4996,7185,12181,less,Disbursements to governments & nonprofits,bienville,District Indigent/Public Defense,bienville Bond Fees,22013
277,"Fiduciary - Second Judicial District Indigent Defender Board, Criminal Court Costs/Fees",2nd Judicial District Indigent Defender Board,Criminal Court Costs/Fees,89320,6794,96114,less,Disbursements to governments & nonprofits,bienville,District Indigent/Public Defense,bienville Criminal Court Costs/Fees,22013
278,"Fiduciary - North Louisiana Crime Lab, Criminal Court Costs/Fees",North Louisiana Crime Laboratory,Criminal Court Costs/Fees,61211,73585,134796,less,Disbursements to governments & nonprofits,bienville,Crime Labs,bienville Criminal Court Costs/Fees,22013
279,"Fiduciary - North Louisiana Crime Lab, Bond Fees",North Louisiana Crime Laboratory,Bond Fees,178,49671,49849,less,Disbursements to governments & nonprofits,bienville,Crime Labs,bienville Bond Fees,22013
280,"Fiduciary - Louisiana Commission on Law Enforcement, Criminal Court Costs/Fees",Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,4691,226,4917,less,Disbursements to governments & nonprofits,bienville,Louisiana Commission on Law Enforcement,bienville Criminal Court Costs/Fees,22013
281,"Fiduciary - Bienville Parish Clerk of Court, Criminal Court Costs/Fees",Bienville Parish Clerk of Court,Criminal Court Costs/Fees,58403,3960,62363,less,Disbursements to governments & nonprofits,bienville,Parish Clerk of Court,bienville Criminal Court Costs/Fees,22013
282,"Fiduciary - Bienville Parish Clerk of Court, Bond Fees",Bienville Parish Clerk of Court,Bond Fees,178,46660,46838,less,Disbursements to governments & nonprofits,bienville,Parish Clerk of Court,bienville Bond Fees,22013
283,"Fiduciary - Louisiana Department of Wildlife and Fisheries, Criminal Court Costs/Fees",Department of Public Safety,Criminal Court Costs/Fees,20,226,246,less,Disbursements to governments & nonprofits,bienville,Public Safety (Parish and/or State),bienville Criminal Court Costs/Fees,22013
284,"Fiduciary - Second Judicial District Attorney's Office, Criminal Court Costs/Fees",2nd Judicial District Court District Attorney,Criminal Court Costs/Fees,39760,35,39795,less,Disbursements to governments & nonprofits,bienville,District Courts,bienville Criminal Court Costs/Fees,22013
285,"Fiduciary - Second Judicial District Attorney's Office, Criminal Fines - Other",2nd Judicial District Court District Attorney,Criminal Fines - Other,33941,32769,66710,less,Disbursements to governments & nonprofits,bienville,District Courts,bienville Criminal Fines - Other,22013
286,"Fiduciary - Second Judicial District Attorney's Office, Bond Fees",2nd Judicial District Court District Attorney,Bond Fees,5441,34209,39650,less,Disbursements to governments & nonprofits,bienville,District Courts,bienville Bond Fees,22013
287,"Fiduciary - Bienville Parish Police Jury, Criminal Fines - Other",Bienville Parish Police Jury,Criminal Fines - Other,20214,7359,27573,less,Disbursements to governments & nonprofits,bienville,Police Jury/Police Jury Costs,bienville Criminal Fines - Other,22013
288,"Fiduciary - Louisiana Department of Public Safety, Criminal Court Costs/Fees",Louisiana Department of Public Safety,Criminal Court Costs/Fees,650,16443,17093,less,Disbursements to governments & nonprofits,bienville,Public Safety (Parish and/or State),bienville Criminal Court Costs/Fees,22013
289,"Fiduciary - Treasurer-State of Louisiana. CMIS, Criminal Court Costs/Fees",State of Louisiana Treasury - CMIS,Criminal Court Costs/Fees,5955,300,6255,less,Disbursements to governments & nonprofits,bienville,Louisiana State Treasury,bienville Criminal Court Costs/Fees,22013
290,"Fiduciary - Louisiana Supreme Court, Criminal Court Costs/Fees",Louisiana Supreme Court,Criminal Court Costs/Fees,934,4914,5848,less,Disbursements to governments & nonprofits,bienville,Louisiana Supreme Court,bienville Criminal Court Costs/Fees,22013
291,"Fiduciary - Claiborne Parish Sheriff, Service/Collection Fees",Claiborne Parish Sheriff,Service/Collection Fees,164,753,917,less,Disbursements to governments & nonprofits,bienville,Parish Sheriff,bienville Service/Collection Fees,22013
292,Fiduciary - East Baton Rouge Sheriff. Service/Collection Fees,East Baton Rouge Parish Sheriff,Service/Collection Fees,306,0,306,less,Disbursements to governments & nonprofits,bienville,Parish Sheriff,bienville Service/Collection Fees,22013
293,"Fiduciary - Jackson Parish Sheriff, Service/Collection Fees",Jackson Parish Sheriff,Service/Collection Fees,182,79,261,less,Disbursements to governments & nonprofits,bienville,Parish Sheriff,bienville Service/Collection Fees,22013
294,"Fiduciary - Lincoln Parish Sheriff, Service/Collection Fees",Lincoln Parish Sheriff,Service/Collection Fees,19,0,19,less,Disbursements to governments & nonprofits,bienville,Parish Sheriff,bienville Service/Collection Fees,22013
295,"Fiduciary - Rapides Parish Sheriff, Service/Collection Fees",Rapides Parish Sheriff,Service/Collection Fees,36,0,36,less,Disbursements to governments & nonprofits,bienville,Parish Sheriff,bienville Service/Collection Fees,22013
296,"Fiduciary - Caddo Parish Sheriff, Service/Collection Fees",Caddo Parish Sheriff,Service/Collection Fees,0,0,0,less,Disbursements to governments & nonprofits,bienville,Parish Sheriff,bienville Service/Collection Fees,22013
297,"Fiduciary - Winn Parish Sheriff, Service/Collection Fees",Winn Parish Sheriff,Service/Collection Fees,0,163,163,less,Disbursements to governments & nonprofits,bienville,Parish Sheriff,bienville Service/Collection Fees,22013
298,"General - Bienville Parish Sheriff, Asset Forfeiture/Sale (fixed)",Bienville Parish Sheriff,Asset Forfeiture/Sale (fixed),0,180,180,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Asset Forfeiture/Sale (fixed),22013
299,"Fiduciary - Bienville Parish Sheriff, Criminal Court Costs/Fees",Bienville Parish Sheriff,Criminal Court Costs/Fees,41319,33498,74817,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Criminal Court Costs/Fees,22013
300,"Fiduciary - Bienville Parish Sheriff, Criminal Fines Other",Bienville Parish Sheriff,Criminal Fines - Other,33941,34164,68105,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Criminal Fines - Other,22013
301,"Fiduciary - Bienville Parish Sheriff, Bond Fees (fixed)",Bienville Parish Sheriff,Bond Fees (fixed),2541,1.921,2542.921,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Bond Fees (fixed),22013
302,"Fiduciary - Bienville Parish Sheriff, Bond Fees (percentage)",Bienville Parish Sheriff,Bond Fees (Percentage),4818,6568,11386,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Bond Fees (Percentage),22013
303,"Fiduciary - Bienville Parish Sheriff, Civil Fees",Bienville Parish Sheriff,Civil Fees,3998,2953,6951,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Civil Fees,22013
304,"Fiduciary - Bienville Parish Sheriff, Asset Forfeiture/Sale (percentage)",Bienville Parish Sheriff,Asset Forfeiture/Sale (percentage),14261,14619,28880,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Asset Forfeiture/Sale (percentage),22013
305,"Fiduciary - Bienville Parish Sheriff, Asset Forfeiture/Sale (fixed) ",Bienville Parish Sheriff,Asset Forfeiture/Sale (fixed),16945,7130,24075,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Asset Forfeiture/Sale (fixed),22013
306,"Fiduciary - Bienville Parish Sheriff, Service/Collection Fees",Bienville Parish Sheriff,Service/Collection Fees,0,188,188,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Service/Collection Fees,22013
307,"Fiduciary - Bienville Parish Sheriff, Other",Bienville Parish Sheriff,Other,79,66,145,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Other,22013
308,"Fiduciary - Bienville Parish Sheriff, Interest",Bienville Parish Sheriff,Interest,0,31,31,less,Amounts retained by collection agency,bienville,Parish Sheriff,bienville Interest,22013
309,Fiduciary - Civil Fee Refunds,Individuals - Civil Fee Refunds,Unspecified,1230,1538,2768,less,Disbursements to individuals/3rd party collection or processing agencies,bienville,Individuals - Specified,bienville Unspecified,22013
310,Fiduciary - Bond Fee Refunds,Individuals - Bond Fee Refunds,Unspecified,56472,11000,67472,less,Disbursements to individuals/3rd party collection or processing agencies,bienville,Individuals - Specified,bienville Unspecified,22013
311,Fiduciary - Other Disbursements to Individuals,Other Disbursements to Individuals,Other,73151,43778,116929,less,Disbursements to individuals/3rd party collection or processing agencies,bienville,Individuals - Unspecified Other,bienville Other,22013
312,Fiduciary - Payments to 3rd Party Collection/Processing Agencies,3rd Party Collection/Processing Agencies,Unspecified,12171,15203,27374,less,Disbursements to individuals/3rd party collection or processing agencies,bienville,Collections/Processing,bienville Unspecified,22013
313,General - Asset Forfeiture/Sale,Bienville Parish Sheriff,Asset Forfeiture/Sale,0,5500,5500,more,NAN,bienville,Parish Sheriff,bienville Asset Forfeiture/Sale,22013
314,Fiduciary - Civil Fees,Bienville Parish Sheriff,Civil Fees,71939,64843,136782,more,NAN,bienville,Parish Sheriff,bienville Civil Fees,22013
315,Fiduciary - Bond Fees,Bienville Parish Sheriff,Bond Fees,36580,45780,82360,more,NAN,bienville,Parish Sheriff,bienville Bond Fees,22013
316,Fiduciary - Asset Forfeiture/Sale,Bienville Parish Sheriff,Asset Forfeiture/Sale,44028,10325,54353,more,NAN,bienville,Parish Sheriff,bienville Asset Forfeiture/Sale,22013
317,Fiduciary - Criminal Court Costs/Fees,Bienville Parish Sheriff,Criminal Court Costs/Fees,82086,143080,225166,more,NAN,bienville,Parish Sheriff,bienville Criminal Court Costs/Fees,22013
318,Fiduciary - Criminal Fines Other,Bienville Parish Sheriff,Criminal Fines - Other,376920,479042,855962,more,NAN,bienville,Parish Sheriff,bienville Criminal Fines - Other,22013
319,Fiduciary - Service/Collection Fees,Bienville Parish Sheriff,Service/Collection Fees,12171,13203,25374,more,NAN,bienville,Parish Sheriff,bienville Service/Collection Fees,22013
320,Bienville Parish Police Jury - Court Costs/Fees,Bienville Parish Police Jury,Court Costs/Fees,4039,3766,7805,receipts,NAN,bienville,Police Jury/Police Jury Costs,Court Costs/Fees,22013
321,BPPJ - Criminal Costs/Fees,Bossier Parish Police Jury,Criminal Court Costs/Fees,470119,513337,983456,less,Disbursements to governments & nonprofits,bossier,Police Jury/Police Jury Costs,bossier Criminal Court Costs/Fees,22015
322,Indigent Defender Board - Criminal Costs/Fees,Indigent Defender Board,Criminal Court Costs/Fees,163049,167722,330771,less,Disbursements to governments & nonprofits,bossier,Parish Indigent/Public Defense,bossier Criminal Court Costs/Fees,22015
323,North Louisiana Crime Lab - Criminal Costs/Fees,North Louisiana Crime Laboratory,Criminal Court Costs/Fees,111005,121628,232633,less,Disbursements to governments & nonprofits,bossier,Crime Labs,bossier Criminal Court Costs/Fees,22015
324,BP Clerk Of Court - Criminal Costs/Fees,Bossier Parish Clerk of Court,Criminal Court Costs/Fees,84224,74665,158889,less,Disbursements to governments & nonprofits,bossier,Parish Clerk of Court,bossier Criminal Court Costs/Fees,22015
325,DA Fine Cost - Criminal Costs/Fees,Bossier Parish District Attorney,Criminal Court Costs/Fees,152660,186652,339312,less,Disbursements to governments & nonprofits,bossier,District Courts,bossier Criminal Court Costs/Fees,22015
326,Lcle Training Commission - Criminal Costs/Fees,Louisiana Commission on Law Enforcement (Training),Criminal Court Costs/Fees,4343,4466,8809,less,Disbursements to governments & nonprofits,bossier,Louisiana Commission on Law Enforcement,bossier Criminal Court Costs/Fees,22015
327,Lcle Crime Victim Commission - Criminal Costs/Fees,Louisiana Commission on Law Enforcement (Victim Commission),Criminal Court Costs/Fees,8157,11467,19624,less,Disbursements to governments & nonprofits,bossier,Louisiana Commission on Law Enforcement,bossier Criminal Court Costs/Fees,22015
328,26Th Judicial Judges Fund - Criminal Costs/Fees,26th Judicial Judges Fund,Criminal Court Costs/Fees,21903,22251,44154,less,Disbursements to governments & nonprofits,bossier,District Courts,bossier Criminal Court Costs/Fees,22015
329,La Wildlife & Fisheries - Criminal Costs/Fees,Louisana Department of Wildlife and Fisheries,Criminal Court Costs/Fees,220,985,1205,less,Disbursements to governments & nonprofits,bossier,Louisiana Department of Wildlife and Fisheries,bossier Criminal Court Costs/Fees,22015
330,La Commission Law Enforc - Criminal Costs/Fees,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,100,0,100,less,Disbursements to governments & nonprofits,bossier,Louisiana Commission on Law Enforcement,bossier Criminal Court Costs/Fees,22015
331,Crime Stoppers - Criminal Costs/Fees,Bossier Crime Stoppers,Criminal Court Costs/Fees,4357,1297,5654,less,Disbursements to governments & nonprofits,bossier,Crimestoppers Organizations,bossier Criminal Court Costs/Fees,22015
332,Clerk Of Court Da Fine Cost - Criminal Costs/Fees,Bossier Clerk of Court DA Fine Cost,Criminal Court Costs/Fees,6567,3023,9590,less,Disbursements to governments & nonprofits,bossier,Parish Clerk of Court,bossier Criminal Court Costs/Fees,22015
333,La Tramatic Head And Spinal Chord - Criminal Costs/Fees,Traumatic Head and Spinal Chord Injury Trust Fund,Criminal Court Costs/Fees,9740,9061,18801,less,Disbursements to governments & nonprofits,bossier,Traumatic Head and Spinal Chord Injury Trust Fund,bossier Criminal Court Costs/Fees,22015
334,"Treasurer, St Of La Cmis - Criminal Costs/Fees",State of Louisiana Treasury - CMIS,Criminal Court Costs/Fees,6577,6690,13267,less,Disbursements to governments & nonprofits,bossier,Louisiana State Treasury,bossier Criminal Court Costs/Fees,22015
335,La Supreme Court - Criminal Costs/Fees,Louisiana Supreme Court,Criminal Court Costs/Fees,1250,1220,2470,less,Disbursements to governments & nonprofits,bossier,Louisiana Supreme Court,bossier Criminal Court Costs/Fees,22015
336,LSP Dwi/Intox - Criminal Costs/Fees,Louisiana Supreme Court DWI/Intox,Criminal Court Costs/Fees,5925,8209,14134,less,Disbursements to governments & nonprofits,bossier,Louisiana Supreme Court,bossier Criminal Court Costs/Fees,22015
337,Bc Police Dwi/Intox - Criminal Costs/Fees,BC Police Dwi/Intox,Criminal Court Costs/Fees,3000,9920,12920,less,Disbursements to governments & nonprofits,bossier,Miscellaneous,bossier Criminal Court Costs/Fees,22015
338,Plain Dealing Dwi/Intox - Criminal Costs/Fees,Plain Dealing DWI/Intox,Criminal Court Costs/Fees,570,0,570,less,Disbursements to governments & nonprofits,bossier,Miscellaneous,bossier Criminal Court Costs/Fees,22015
339,Haughton Dwi/Intox - Criminal Costs/Fees,Haughton DWI/Intox,Criminal Court Costs/Fees,5653,810,6463,less,Disbursements to governments & nonprofits,bossier,Miscellaneous,bossier Criminal Court Costs/Fees,22015
340,Clerk of Court - Civil Costs/Fees,Bossier Parish Clerk of Court,Civil Costs/Fees,46313,49340,95653,less,Disbursements to governments & nonprofits,bossier,Parish Clerk of Court,bossier Civil Costs/Fees,22015
341,Department of Public Safety - Civil Costs/Fees,Department of Public Safety,Civil Costs/Fees,56,56,112,less,Disbursements to governments & nonprofits,bossier,Public Safety (Parish and/or State),bossier Civil Costs/Fees,22015
342,Department of Public Safety - Sex Offender Tech Fees,Department of Public Safety,Sex Offender Tech Fees,25675,31196,56871,less,Disbursements to governments & nonprofits,bossier,Public Safety (Parish and/or State),bossier Sex Offender Tech Fees,22015
343,Collection Fee for Collecting/Disbursingto Others Based on Percentage of Collection,Collecting Agency,Unspecified,13033,12953,25986,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Unspecified,22015
344,Self-Disbursed Sheriff Traffic Fine Cost - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,21920,22406,44326,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
345,Self-Disbursed Bossier Community Service - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,6466,6159,12625,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
346,Self-Disbursed Sheriff's Traffic Fine Commission - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,43250,50180,93430,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
347,Self-Disbursed Dare Program - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,18070,22487,40557,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
348,Self-Disbursed Bond Fees - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,29445,31275,60720,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
349,Self-Disbursed Cred Card Fees - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,6741,7956,14697,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
350,Self-Disbursed Sheriff's Bond Forfeiture Comm - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,250,0,250,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
351,Self-Disbursed Sheriff Surety Bond Fee - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,74813,77757,152570,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
352,Self-Disbursed BSD Bond Fee - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,3496,3728,7224,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
353,Self-Disbursed Intox Test - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,16807,15458,32265,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
354,Self-Disbursed Sheriff's 2% LCLE Training - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,88,89,177,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
355,Self-Disbursed Bank Interest - Criminal Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,390,358,748,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Criminal Court Costs/Fees,22015
356,Self-Disbursed Commission - Civil Costs/Fees,Collecting Agency,Civil Costs/Fees,200153,170064,370217,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Civil Costs/Fees,22015
357,Self-Disbursed Costs - Civil Costs/Fees,Collecting Agency,Civil Costs/Fees,27861,20603,48464,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Civil Costs/Fees,22015
358,Self-Disbursed Docket - Civil Costs/Fees,Collecting Agency,Civil Costs/Fees,148225,150749,298974,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Civil Costs/Fees,22015
359,Self-Disbursed Bank Interest - Civil Costs/Fees,Collecting Agency,Civil Costs/Fees,230,246,476,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Civil Costs/Fees,22015
360,Self-Disbursed Tax Collector - Civil Costs/Fees,Collecting Agency,Civil Costs/Fees,0,1517,1517,less,Amounts retained by collection agency,bossier,Collections/Processing,bossier Civil Costs/Fees,22015
361,Other Disbursements to Individuals (additional detail is not required),Individuals - Other,Unspecified,3257079,2802538,6059617,less,Disbursements to lndividuals/3rd Party Collection or Processing Agencies ,bossier,Individuals - Unspecified Other,bossier Unspecified,22015
362,Civil Fees (including refundable amounts such as garnishments or advance deposits),Bossier Parish Sheriff,Civil Fees (including garnishments and advance deposits),201663,188833,390496,more,NAN,bossier,Parish Sheriff,bossier Civil Fees (including garnishments and advance deposits),22015
363,Bond Fees,Bossier Parish Sheriff,Bond Fees,366356,398379,764735,more,NAN,bossier,Parish Sheriff,bossier Bond Fees,22015
364,Asset Forfeiture/Sale,Bossier Parish Sheriff,Asset Forfeiture/Sale,2961833,3204738,6166571,more,NAN,bossier,Parish Sheriff,bossier Asset Forfeiture/Sale,22015
365,Criminal Court Costs/Fees,Bossier Parish Sheriff,Criminal Court Costs/Fees,474350,529224,1003574,more,NAN,bossier,Parish Sheriff,bossier Criminal Court Costs/Fees,22015
366,Criminal Fines - Other (Bonds),Bossier Parish Sheriff,Criminal Fines - Other (Bonds),760620,273791,1034411,more,NAN,bossier,Parish Sheriff,bossier Criminal Fines - Other (Bonds),22015
367,Criminal Fines - Other,Bossier Parish Sheriff,Criminal Fines - Other,417004,479443,896447,more,NAN,bossier,Parish Sheriff,bossier Criminal Fines - Other,22015
368,Probation/Parole/Supervision Fees,Bossier Parish Sheriff,Probatiion/Parole/Supervision Fees,35935,33487,69422,more,NAN,bossier,Parish Sheriff,bossier Probatiion/Parole/Supervision Fees,22015
369,"Servlce/Collection Fees (e.g.credit card fees,report fees, 3rdparty servicefees)",Bossier Parish Sheriff,"Service/Collection Fees (e.g. credit card fees,report fees, 3rd party service fees)",6395,9139,15534,more,NAN,bossier,Parish Sheriff,"bossier Service/Collection Fees (e.g. credit card fees,report fees, 3rd party service fees)",22015
370,Interest Earnings on Collected Balances,Bossier Parish Sheriff,Interest,637,609,1246,more,NAN,bossier,Parish Sheriff,bossier Interest,22015
371,Bossier City - DWI Fees (342603),Bossier City,DWI Fees (342603),1028,822,1850,receipts,NAN,bossier,City/Town Police and Government,DWI Fees (342603),22015
372,Probation Supervision Fees less Tech Fees (342613),Bossier Parish,Probation Supervision Fees less Tech Fees (342613),187853,196052,383905,receipts,NAN,bossier,Miscellaneous,Probation Supervision Fees less Tech Fees (342613),22015
373,Sex Offender Fees (342623),Bossier Parish,Sex Offender Fees (342623),8043,13168,21211,receipts,NAN,bossier,Miscellaneous,Sex Offender Fees (342623),22015
374,Calcasieu Parish Criminal Court Fund - Bond Fees,Calcasieu Parish Criminal Court Fund,Bond Fees,55757,124048,179805,less,Disbursements to governments & nonprofits,calcasieu,Misc. Funds,calcasieu Bond Fees,22019
375,Calcasieu Parish Indigent Defendenders Board - Bond Fees,Calcasieu Parish Indigent Defenders Board,Bond Fees,55757,124048,179805,less,Disbursements to governments & nonprofits,calcasieu,Parish Indigent/Public Defense,calcasieu Bond Fees,22019
376,Calcasieu Parish District Attorney - Bond Fees,Calcasieu Parish District Attorney,Bond Fees,55757,124048,179805,less,Disbursements to governments & nonprofits,calcasieu,District Courts,calcasieu Bond Fees,22019
377,Calcasieu Parish Clerk of Courts - Civil Fees,Calcasieu Parish Clerk of Court,Civil Fees,58846,205739,264585,less,Disbursements to governments & nonprofits,calcasieu,Parish Clerk of Court,calcasieu Civil Fees,22019
378,Calcasieu Parish Clerk of Court - Criminal Court Costs/Fees,Calcasieu Parish Clerk of Court,Criminal Court Costs/Fees,22124,47249,69373,less,Disbursements to governments & nonprofits,calcasieu,Parish Clerk of Court,calcasieu Criminal Court Costs/Fees,22019
379,Calcasieu Parish Combined Anti Drug Team - Criminal Court Costs/Fees,Calcasieu Parish Combined Anti Drug Team,Criminal Court Costs/Fees,250,50,300,less,Disbursements to governments & nonprofits,calcasieu,Miscellaneous,calcasieu Criminal Court Costs/Fees,22019
380,Calcasieu Parish District Attorney - Criminal Court Costs/Fees,Calcasieu Parish District Attorney,Criminal Court Costs/Fees,47333,96663,143996,less,Disbursements to governments & nonprofits,calcasieu,District Courts,calcasieu Criminal Court Costs/Fees,22019
381,Calcasieu Parish Police Jury - Criminal Court Costs/Fees,Calcasieu Parish Police Jury,Criminal Court Costs/Fees,95681,171878,267559,less,Disbursements to governments & nonprofits,calcasieu,Police Jury/Police Jury Costs,calcasieu Criminal Court Costs/Fees,22019
382,Calcasieu Parish Police Jury - Coroner - Criminal Court Costs/Fees,Calcasieu Parish Police Jury,Criminal Court Costs/Fees,2311,4722,7033,less,Disbursements to governments & nonprofits,calcasieu,Police Jury/Police Jury Costs,calcasieu Criminal Court Costs/Fees,22019
383,Calcasieu Parish Public Defender - Criminal Court Costs/Fees,Calcasieu Parish Public Defender,Criminal Court Costs/Fees,17270,32074,49344,less,Disbursements to governments & nonprofits,calcasieu,Parish Indigent/Public Defense,calcasieu Criminal Court Costs/Fees,22019
384,City of Lake Charles - Dare Program - Criminal Court Costs/Fees,Dare Program - City of Lake Charles,Criminal Court Costs/Fees,3097,5359,8456,less,Disbursements to governments & nonprofits,calcasieu,DARE,calcasieu Criminal Court Costs/Fees,22019
385,City of Sulphur - Dare Program - Criminal Court Costs/Fees,Dare Program - City of Sulphur,Criminal Court Costs/Fees,1418,2459,3877,less,Disbursements to governments & nonprofits,calcasieu,DARE,calcasieu Criminal Court Costs/Fees,22019
386,City of Westlake - Dare Program - Criminal Court Costs/Fees,Dare Program - City of Westlake,Criminal Court Costs/Fees,255,433,688,less,Disbursements to governments & nonprofits,calcasieu,DARE,calcasieu Criminal Court Costs/Fees,22019
387,Cnninal Indigent Transcript Fund (Indigent Defender Board) - Criminal Court Costs/Fees,Calcasieu Parish Criminal Indigent Transcript Fund (Indigent Defender Board),Criminal Court Costs/Fees,4645,10382,15027,less,Disbursements to governments & nonprofits,calcasieu,Parish Indigent/Public Defense,calcasieu Criminal Court Costs/Fees,22019
388,Family Youth and Counseling - Criminal Court Costs/Fees,Family Youth and Counseling,Criminal Court Costs/Fees,3136,6907,10043,less,Disbursements to governments & nonprofits,calcasieu,Miscellaneous,calcasieu Criminal Court Costs/Fees,22019
389,Fish and Wildlife Violation Reward Fund - Criminal Court Costs/Fees,Fish and Wildlife Violation Reward Fund,Criminal Court Costs/Fees,55,5,60,less,Disbursements to governments & nonprofits,calcasieu,Misc. Funds,calcasieu Criminal Court Costs/Fees,22019
390,Iowa Police Department - Criminal Court Costs/Fees,Iowa Police Department,Criminal Court Costs/Fees,57,50,107,less,Disbursements to governments & nonprofits,calcasieu,City/Town Police and Government,calcasieu Criminal Court Costs/Fees,22019
391,Judicial Expense Fund - Judges Administrative - Criminal Court Costs/Fees,"Judicial Expense Fund, Judges Administrative",Criminal Court Costs/Fees,3194,7040,10234,less,Disbursements to governments & nonprofits,calcasieu,Judicial Expense Funds,calcasieu Criminal Court Costs/Fees,22019
392,LA Commision on Law Enforcement - Crime Victim Reparation - Criminal Court Costs/Fees,Louisiana Commission on Law Enforcement (Victims),Criminal Court Costs/Fees,4687,10493,15180,less,Disbursements to governments & nonprofits,calcasieu,Louisiana Commission on Law Enforcement,calcasieu Criminal Court Costs/Fees,22019
393,LA Commision on Law Enforcement - Drug Education Program - Criminal Court Costs/Fees,Louisiana Commission on Law Enforcement (DARE),Criminal Court Costs/Fees,700,1480,2180,less,Disbursements to governments & nonprofits,calcasieu,DARE,calcasieu Criminal Court Costs/Fees,22019
